survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,fare_capped,family_size,is_alone
0,3,male,27.673299999999998,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.8958,1,1
0,1,male,40.0,0,0,27.7208,C,First,man,True,Cherbourg,no,True,27.7208,1,1
1,1,female,27.673299999999998,1,0,146.5208,C,First,woman,False,Cherbourg,yes,False,66.12809999999999,2,0
1,3,female,27.673299999999998,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,7.75,1,1
0,2,male,66.0,0,0,10.5,S,Second,man,True,Southampton,no,True,10.5,1,1
0,1,male,28.0,1,0,82.1708,C,First,man,True,Cherbourg,no,False,66.12809999999999,2,0
0,1,male,42.0,1,0,52.0,S,First,man,True,Southampton,no,False,52.0,2,0
1,3,male,27.673299999999998,0,0,7.2292,C,Third,man,True,Cherbourg,yes,True,7.2292,1,1
0,3,male,21.0,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,3,female,18.0,2,0,18.0,S,Third,woman,False,Southampton,no,False,18.0,3,0
1,3,female,14.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,11.2417,2,0
0,3,female,40.0,1,0,9.475,S,Third,woman,False,Southampton,no,False,9.475,2,0
0,2,female,27.0,1,0,21.0,S,Second,woman,False,Southampton,no,False,21.0,2,0
0,3,male,27.673299999999998,0,0,7.8958,C,Third,man,True,Cherbourg,no,True,7.8958,1,1
1,2,female,3.0,1,2,41.5792,C,Second,child,False,Cherbourg,yes,False,41.5792,4,0
1,3,female,19.0,0,0,7.8792,Q,Third,woman,False,Queenstown,yes,True,7.8792,1,1
0,3,male,27.673299999999998,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,3,male,27.673299999999998,1,0,15.5,Q,Third,man,True,Queenstown,no,False,15.5,2,0
1,3,female,27.673299999999998,0,0,7.75,Q,Third,woman,False,Queenstown,yes,True,7.75,1,1
0,3,male,27.673299999999998,2,0,21.6792,C,Third,man,True,Cherbourg,no,False,21.6792,3,0
0,3,female,18.0,1,0,17.8,S,Third,woman,False,Southampton,no,False,17.8,2,0
0,3,male,7.0,4,1,39.6875,S,Third,child,False,Southampton,no,False,39.6875,6,0
0,3,male,21.0,0,0,7.8,S,Third,man,True,Southampton,no,True,7.8,1,1
1,1,female,49.0,1,0,76.7292,C,First,woman,False,Cherbourg,yes,False,66.12809999999999,2,0
1,2,female,29.0,1,0,26.0,S,Second,woman,False,Southampton,yes,False,26.0,2,0
0,1,male,65.0,0,1,61.9792,C,First,man,True,Cherbourg,no,False,61.9792,2,0
1,1,male,27.673299999999998,0,0,35.5,S,First,man,True,Southampton,yes,True,35.5,1,1
1,2,female,21.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,10.5,1,1
0,3,male,28.5,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,7.2292,1,1
1,2,female,5.0,1,2,27.75,S,Second,child,False,Southampton,yes,False,27.75,4,0
0,3,male,11.0,5,2,46.9,S,Third,child,False,Southampton,no,False,46.9,8,0
0,3,male,22.0,0,0,7.2292,C,Third,man,True,Cherbourg,no,True,7.2292,1,1
1,1,female,38.0,0,0,80.0,S,First,woman,False,,yes,True,66.12809999999999,1,1
0,1,male,45.0,1,0,83.475,S,First,man,True,Southampton,no,False,66.12809999999999,2,0
0,3,male,4.0,3,2,27.9,S,Third,child,False,Southampton,no,False,27.9,6,0
0,1,male,27.673299999999998,0,0,27.7208,C,First,man,True,Cherbourg,no,True,27.7208,1,1
1,3,male,27.673299999999998,1,1,15.2458,C,Third,man,True,Cherbourg,yes,False,15.2458,3,0
1,2,female,29.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,10.5,1,1
0,3,male,19.0,0,0,8.1583,S,Third,man,True,Southampton,no,True,8.1583,1,1
1,3,female,17.0,4,2,7.925,S,Third,woman,False,Southampton,yes,False,7.925,7,0
0,3,male,26.0,2,0,8.6625,S,Third,man,True,Southampton,no,False,8.6625,3,0
0,2,male,32.0,0,0,10.5,S,Second,man,True,Southampton,no,True,10.5,1,1
0,3,female,16.0,5,2,46.9,S,Third,woman,False,Southampton,no,False,46.9,8,0
0,2,male,21.0,0,0,73.5,S,Second,man,True,Southampton,no,True,66.12809999999999,1,1
0,3,male,26.0,1,0,14.4542,C,Third,man,True,Cherbourg,no,False,14.4542,2,0
1,3,male,32.0,0,0,56.4958,S,Third,man,True,Southampton,yes,True,56.4958,1,1
0,3,male,25.0,0,0,7.65,S,Third,man,True,Southampton,no,True,7.65,1,1
0,3,male,27.673299999999998,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.8958,1,1
0,3,male,27.673299999999998,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
1,2,male,0.83,0,2,29.0,S,Second,child,False,Southampton,yes,False,29.0,3,0
1,3,female,30.0,0,0,12.475,S,Third,woman,False,Southampton,yes,True,12.475,1,1
0,3,male,22.0,0,0,9.0,S,Third,man,True,Southampton,no,True,9.0,1,1
1,3,male,29.0,0,0,9.5,S,Third,man,True,Southampton,yes,True,9.5,1,1
1,3,female,27.673299999999998,0,0,7.7875,Q,Third,woman,False,Queenstown,yes,True,7.7875,1,1
0,1,male,28.0,0,0,47.1,S,First,man,True,Southampton,no,True,47.1,1,1
1,2,female,17.0,0,0,10.5,S,Second,woman,False,Southampton,yes,True,10.5,1,1
1,3,female,33.0,3,0,15.85,S,Third,woman,False,Southampton,yes,False,15.85,4,0
0,3,male,16.0,1,3,34.375,S,Third,man,True,Southampton,no,False,34.375,5,0
0,3,male,27.673299999999998,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
1,1,female,23.0,3,2,263.0,S,First,woman,False,Southampton,yes,False,66.12809999999999,6,0
0,3,male,24.0,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,3,male,29.0,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,3,male,20.0,0,0,7.8542,S,Third,man,True,Southampton,no,True,7.8542,1,1
0,1,male,46.0,1,0,61.175,S,First,man,True,Southampton,no,False,61.175,2,0
0,3,male,26.0,1,2,20.575,S,Third,man,True,Southampton,no,False,20.575,4,0
0,3,male,59.0,0,0,7.25,S,Third,man,True,Southampton,no,True,7.25,1,1
0,3,male,27.673299999999998,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,1,male,71.0,0,0,34.6542,C,First,man,True,Cherbourg,no,True,34.6542,1,1
1,1,male,23.0,0,1,63.3583,C,First,man,True,Cherbourg,yes,False,63.3583,2,0
1,2,female,34.0,0,1,23.0,S,Second,woman,False,Southampton,yes,False,23.0,2,0
0,2,male,34.0,1,0,26.0,S,Second,man,True,Southampton,no,False,26.0,2,0
0,3,female,28.0,0,0,7.8958,S,Third,woman,False,Southampton,no,True,7.8958,1,1
0,3,male,27.673299999999998,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.8958,1,1
0,1,male,21.0,0,1,77.2875,S,First,man,True,Southampton,no,False,66.12809999999999,2,0
0,3,male,33.0,0,0,8.6542,S,Third,man,True,Southampton,no,True,8.6542,1,1
0,3,male,37.0,2,0,7.925,S,Third,man,True,Southampton,no,False,7.925,3,0
0,3,male,28.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.8958,1,1
1,3,female,21.0,0,0,7.65,S,Third,woman,False,Southampton,yes,True,7.65,1,1
1,3,male,27.673299999999998,0,0,7.775,S,Third,man,True,Southampton,yes,True,7.775,1,1
0,3,male,38.0,0,0,7.8958,S,Third,man,True,Southampton,no,True,7.8958,1,1
1,3,female,27.673299999999998,1,0,24.15,Q,Third,woman,False,Queenstown,yes,False,24.15,2,0
0,1,male,47.0,0,0,52.0,S,First,man,True,Southampton,no,True,52.0,1,1
0,3,female,14.5,1,0,14.4542,C,Third,child,False,Cherbourg,no,False,14.4542,2,0
0,3,male,22.0,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,3,female,20.0,1,0,9.825,S,Third,woman,False,Southampton,no,False,9.825,2,0
0,3,female,17.0,0,0,14.4583,C,Third,woman,False,Cherbourg,no,True,14.4583,1,1
0,3,male,21.0,0,0,7.925,S,Third,man,True,Southampton,no,True,7.925,1,1
0,3,male,70.5,0,0,7.75,Q,Third,man,True,Queenstown,no,True,7.75,1,1
0,2,male,29.0,1,0,21.0,S,Second,man,True,Southampton,no,False,21.0,2,0
0,1,male,24.0,0,1,247.5208,C,First,man,True,Cherbourg,no,False,66.12809999999999,2,0
0,3,female,2.0,4,2,31.275,S,Third,child,False,Southampton,no,False,31.275,7,0
0,2,male,21.0,2,0,73.5,S,Second,man,True,Southampton,no,False,66.12809999999999,3,0
0,3,male,27.673299999999998,0,0,8.05,S,Third,man,True,Southampton,no,True,8.05,1,1
0,2,male,32.5,1,0,30.0708,C,Second,man,True,Cherbourg,no,False,30.0708,2,0
1,2,female,32.5,0,0,13.0,S,Second,woman,False,Southampton,yes,True,13.0,1,1
0,1,male,54.0,0,1,77.2875,S,First,man,True,Southampton,no,False,66.12809999999999,2,0
1,3,male,12.0,1,0,11.2417,C,Third,child,False,Cherbourg,yes,False,11.2417,2,0
0,3,male,27.673299999999998,0,0,7.75,Q,Third,man,T,,,,7.75,1,1
